"","date","count","lang","page","rank","month","title"
"74",2008-03-03,0,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"80",2008-03-04,0,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"79",2008-03-05,1528,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"78",2008-03-06,1391,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"77",2008-03-07,1505,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"73",2008-03-08,1752,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"72",2008-03-09,1924,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"64",2008-03-10,2363,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"65",2008-03-11,1703,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"66",2008-03-12,1571,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"67",2008-03-13,1561,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"60",2008-03-14,1570,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"61",2008-03-15,1603,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"62",2008-03-16,1928,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"63",2008-03-17,1816,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"68",2008-03-18,1603,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"69",2008-03-19,1737,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"82",2008-03-20,1713,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"81",2008-03-21,1490,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"84",2008-03-22,1755,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"83",2008-03-23,1916,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"86",2008-03-24,1919,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
